game_id,date,season,team1,team2,team1_pts,team1_fg_pct,team1_3p_pct,team1_ft_pct,team1_reb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_plus_minus,team2_pts,team2_fg_pct,team2_3p_pct,team2_ft_pct,team2_reb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_plus_minus,pts_diff,fg_pct_diff,reb_diff,ast_diff,stl_diff,blk_diff,tov_diff,plus_minus_diff,team1_wins,team1_fgm,team1_fga,team1_fg3m,team1_fg3a,team1_ftm,team1_fta,team1_oreb,team1_dreb,team2_fgm,team2_fga,team2_fg3m,team2_fg3a,team2_ftm,team2_fta,team2_oreb,team2_dreb,team1_efficiency,team2_efficiency,efficiency_diff,team1_recent_win_rate,team2_recent_win_rate,recent_win_rate_diff
0022500264,2025-11-20,22025,ORL,LAC,129,0.479,0.529,0.875,51,32,12,4,10,17,28.0,101,0.404,0.389,0.789,43,20,7,6,21,20,-28.0,28,0.07499999999999996,8,12,5,-2,-11,56.0,1,45,94,18,34,21,24,12,39,36,89,14,36,15,19,10,33,1.1163032191069575,0.8533288273065225,0.262974391800435,0.8,0.2,0.6000000000000001
0022500267,2025-11-20,22025,SAS,ATL,135,0.527,0.425,0.733,43,34,10,4,10,15,9.0,126,0.563,0.541,0.615,39,30,7,6,16,24,-9.0,9,-0.03599999999999992,4,4,3,-2,-6,18.0,1,48,91,17,40,22,30,10,33,49,87,20,37,8,13,6,33,1.171875,1.1589403973509933,0.012934602649006699,0.6,0.8,-0.20000000000000007
0022500056,2025-11-21,22025,POR,GSW,127,0.477,0.356,0.844,52,31,8,5,20,25,4.0,123,0.482,0.395,0.867,32,29,14,4,13,25,-4.0,4,-0.0050000000000000044,20,2,-6,1,7,8.0,1,42,88,16,45,27,32,21,31,40,83,17,43,26,30,9,23,1.0318492037699059,1.116152450090744,-0.08430324632083819,0.2,0.6,-0.39999999999999997
0022500055,2025-11-21,22025,OKC,UTA,144,0.614,0.622,0.76,26,36,15,4,13,16,32.0,112,0.481,0.421,0.833,39,30,10,3,27,25,-32.0,32,0.133,-13,6,5,1,-14,64.0,1,51,83,23,37,19,25,3,23,38,79,16,38,20,24,12,27,1.3333333333333333,0.9527050017012589,0.3806283316320743,1.0,0.4,0.6
0022500054,2025-11-21,22025,DEN,HOU,112,0.526,0.379,0.778,38,28,8,7,14,20,3.0,109,0.441,0.389,0.65,41,21,8,2,14,22,-3.0,3,0.08500000000000002,-3,7,0,5,0,6.0,1,40,76,11,29,21,27,11,27,41,93,14,36,13,20,18,23,1.088646967340591,0.9252971137521223,0.16334985358846865,0.8,1.0,-0.19999999999999996
0022500053,2025-11-21,22025,MIN,PHX,113,0.453,0.324,0.697,37,18,17,4,19,23,-1.0,114,0.481,0.452,0.759,45,25,13,2,27,29,1.0,-1,-0.02799999999999997,-8,-7,4,2,-8,-2.0,0,39,86,12,37,23,33,14,23,39,81,14,31,22,29,15,30,0.9222984002611819,0.9362680683311432,-0.01396966806996125,0.8,0.8,0.0
0022500051,2025-11-21,22025,MIA,CHI,143,0.47,0.368,0.795,53,35,13,7,10,22,36.0,107,0.411,0.279,0.75,39,26,5,13,18,27,-36.0,36,0.059,14,9,8,-6,-8,72.0,1,47,100,14,38,35,44,15,38,37,90,12,43,21,28,8,31,1.105442176870748,0.8892952127659575,0.21614696410479062,0.6,0.4,0.19999999999999996
0022500050,2025-11-21,22025,WAS,TOR,110,0.453,0.293,0.833,29,26,9,4,17,22,-30.0,140,0.578,0.5,0.769,48,36,13,4,14,20,30.0,-30,-0.12499999999999994,-19,-10,-4,0,3,-60.0,0,39,86,12,41,20,24,7,22,48,83,14,28,30,39,13,35,0.960195530726257,1.2156998957971519,-0.2555043650708949,0.0,1.0,-1.0
0022500049,2025-11-21,22025,BOS,BKN,105,0.467,0.324,0.714,44,24,7,1,13,25,-8.0,113,0.524,0.394,0.667,41,31,5,6,13,17,8.0,-8,-0.056999999999999995,3,-7,2,-5,0,-16.0,0,42,90,11,34,10,14,14,30,43,82,13,33,14,21,7,34,0.9618908024917553,1.0737362219688331,-0.11184541947707782,0.8,0.2,0.6000000000000001
0022500048,2025-11-21,22025,IND,CLE,109,0.42,0.297,0.923,43,25,10,6,12,22,-11.0,120,0.483,0.371,0.778,52,28,5,8,14,22,11.0,-11,-0.063,-9,-3,5,-2,-2,-22.0,0,37,88,11,37,24,26,10,33,43,89,13,35,21,27,14,38,0.9694059053717539,1.0445682451253482,-0.07516233975359432,0.2,0.6,-0.39999999999999997
